Start
A.L.E: Arcade Learning Environment (version 0.11.1+2750686)
[Powered by Stella]
Using device: cuda:0 
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 113/2000 | Total Frames: 144016 | Epsilon: 0.5216 | Reward: 5.00 | Avg 100-episode Reward: 0.31
Episode 114/2000 | Total Frames: 144848 | Epsilon: 0.5202 | Reward: 2.00 | Avg 100-episode Reward: 0.33
Episode 115/2000 | Total Frames: 145680 | Epsilon: 0.5188 | Reward: 1.00 | Avg 100-episode Reward: 0.34
Episode 116/2000 | Total Frames: 146512 | Epsilon: 0.5174 | Reward: 2.00 | Avg 100-episode Reward: 0.36
Episode 117/2000 | Total Frames: 147344 | Epsilon: 0.5160 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 118/2000 | Total Frames: 148176 | Epsilon: 0.5146 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 119/2000 | Total Frames: 149008 | Epsilon: 0.5132 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 120/2000 | Total Frames: 149840 | Epsilon: 0.5119 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Target network updated at step 150000
Episode 121/2000 | Total Frames: 150672 | Epsilon: 0.5105 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 122/2000 | Total Frames: 151504 | Epsilon: 0.5091 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 123/2000 | Total Frames: 152336 | Epsilon: 0.5078 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 124/2000 | Total Frames: 153168 | Epsilon: 0.5064 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 125/2000 | Total Frames: 154000 | Epsilon: 0.5051 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 126/2000 | Total Frames: 154832 | Epsilon: 0.5037 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 127/2000 | Total Frames: 155664 | Epsilon: 0.5024 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 128/2000 | Total Frames: 156496 | Epsilon: 0.5010 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 129/2000 | Total Frames: 157328 | Epsilon: 0.4997 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 130/2000 | Total Frames: 158160 | Epsilon: 0.4984 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 131/2000 | Total Frames: 158992 | Epsilon: 0.4971 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 132/2000 | Total Frames: 159824 | Epsilon: 0.4957 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Target network updated at step 160000
Episode 133/2000 | Total Frames: 160656 | Epsilon: 0.4944 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 134/2000 | Total Frames: 161488 | Epsilon: 0.4931 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 135/2000 | Total Frames: 162320 | Epsilon: 0.4918 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 136/2000 | Total Frames: 163152 | Epsilon: 0.4905 | Reward: 4.00 | Avg 100-episode Reward: 0.40
Episode 137/2000 | Total Frames: 163984 | Epsilon: 0.4892 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Episode 138/2000 | Total Frames: 164816 | Epsilon: 0.4879 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Episode 139/2000 | Total Frames: 165648 | Epsilon: 0.4866 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Episode 140/2000 | Total Frames: 166480 | Epsilon: 0.4853 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Episode 141/2000 | Total Frames: 167312 | Epsilon: 0.4841 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Episode 142/2000 | Total Frames: 168144 | Epsilon: 0.4828 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Episode 143/2000 | Total Frames: 168976 | Epsilon: 0.4815 | Reward: 0.00 | Avg 100-episode Reward: 0.40
